Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX,AAPL,GOOGL,NFLX
Date,,,,,,,,,,,,,,,
2020-03-09,64.66490173339844,60.5699348449707,346.489990234375,67.5608121841011,62.41026376463806,357.4700012207031,63.89476010790818,59.685639656926234,341.7200012207031,64.07696949985089,60.03039060424266,343.8599853515625,286744800,69252000,7405500
2020-03-10,69.3221664428711,63.52820587158203,364.1300048828125,69.58940835488747,63.56208346017073,364.5400085449219,65.44232100611896,60.5061600095972,347.8500061035156,67.33001496463376,62.49296104143068,356.42999267578125,285290000,54872000,7604400
2020-03-11,66.91458892822266,60.32630920410156,349.9200134277344,68.32124779609116,62.61949838943698,362.9800109863281,66.04727026677229,59.34187890099212,344.7900085449219,67.3907682408546,62.18806372644597,358.9200134277344,255598800,54732000,6036000
2020-03-12,60.30644226074219,55.37675476074219,315.25,65.59537401061138,59.22281313910036,335.7200012207031,60.250565757894904,55.22331167410478,307.32000732421875,62.17955623859568,55.92825665674984,326.5,418474000,94326000,12071600
2020-03-13,67.53165435791016,60.494205474853516,336.29998779296875,68.00540170395698,60.500682240290445,336.4200134277344,61.453148500655,55.413620095234876,307.3900146484375,64.35392608390474,58.537298689662194,330.510009765625,370732000,79400000,9458200
2020-03-16,58.84391784667969,53.45621871948242,298.8399963378906,62.942409574296256,57.06662772504203,334.3500061035156,58.30700586985522,53.161286436824646,294.75,58.78074955113587,54.28371671880484,306.6300048828125,322423600,96520000,10559900
2020-03-17,61.43128967285156,55.70107650756836,319.75,62.58527878886286,56.09664189269421,322.8999938964844,57.91829094246008,52.26553273663821,290.25,60.13152785246368,54.335030213703156,306.19000244140625,324056000,83194000,10013900
2020-03-18,59.92744827270508,54.362430572509766,315.4700012207031,60.736458342676634,55.049936896919235,331.5799865722656,57.60731482260299,51.66271423119009,300.0,58.25112350527089,52.80557438423959,302.3999938964844,300233600,93044000,12593600
2020-03-19,59.468292236328125,55.38273239135742,332.0299987792969,61.42643543687088,57.42233951228538,348.510009765625,58.941100121340455,52.58686790234642,316.82000732421875,60.10238113169301,54.2144668514263,324.3299865722656,271857200,74064000,10616000
2020-03-20,55.69290542602539,53.21757888793945,332.8299865722656,61.18105103531312,56.71838820983278,350.489990234375,55.391651251345145,52.91318233474506,332.0,60.05135066055668,56.34075556015403,342.30999755859375,401693200,82878000,10853800
2020-03-23,54.50975799560547,52.5161247253418,360.2699890136719,55.51312552059559,53.152816591676384,366.1099853515625,51.65271619613283,50.2612982120029,340.8800048828125,55.4110887106565,52.62771969397402,347.8900146484375,336752800,83672000,13449400
2020-03-24,59.97847366333008,56.29642105102539,357.32000732421875,60.175259212076874,56.46182182723558,372.92999267578125,56.92221437304566,54.125290704013324,353.0299987792969,57.42268223950284,54.99962362416185,369.989990234375,287531200,72468000,11638700
2020-03-25,59.64806365966797,54.88204574584961,342.3900146484375,62.74076316410799,57.1014970074779,362.0,59.3516694383783,53.95490673143392,339.1700134277344,60.91866936456952,56.025897922286106,361.0199890136719,303602000,90324000,8767200
2020-03-26,62.78694152832031,57.935977935791016,362.989990234375,62.84524617415968,58.3624334086797,363.8399963378906,59.85215449278624,54.4042821365031,341.7300109863281,59.89102672805275,55.53468295067127,344.0,252087200,76562000,7229600
2020-03-27,60.187400817871094,55.31248474121094,357.1199951171875,62.162547880502984,57.344619150620744,368.55999755859375,60.01976760326953,55.00061558660406,353.0,61.40455808271416,56.169876906455066,359.0899963378906,204216800,62794000,7948800
2020-03-30,61.905033111572266,57.10847473144531,370.9599914550781,62.07752630082117,57.34212859909248,377.79998779296875,60.59069513800199,54.72611218061649,361.1700134277344,60.91624540312953,56.42744514551845,363.0,167976400,58736000,8622000
